State,class
Y*Y+,Normal-Stribrek
"Z.I.i.I.Z.y.Y.Y.Y.y.y.H.Y.Y.Y.y.y.Y.Z,",Normal-Stribrek
Y.Y.Y.,Normal-Stribrek
"Y.h.y.Y.Y.Y.h.Y.Y.y.Y.Y.y.Y.H.Y,Y.y.Y.y.Y.Y.Y.y.H.Y.H.Y.Y.Y.Y.Y.Y.Y.Y.Y.Y.Y.Y.Y.Y.Y,Y.Y.H.y.Y.H.y,Y.Y.w.H.w.W.W.w.Y,Y.Y.Y.y.Y*W,Y.W.F.w.w.Y,Y.Y,Y.Y.Y.y.Y0Y.Y,Y.Y.Y,Y.Y.Y.y.Y.Y+Y.Y.Y.Y.y.H.y.Y.Y.Y.Y,Y.Y,W.W.f.f.F.Y,Y.",Normal-Stribrek
"y,y,h,y.y,y,h,h,h,y,h,y,h,h,h,h,h,h,y,y,y+y,y,",Normal-Stribrek
"h,y,y,y,h,y,y,y+Y*Y+",Normal-Stribrek
Y+,Normal-Stribrek
"Z.I.Z.z.I.Z.Z.Y.Y.Y.Y.Z,",Normal-Stribrek
"z.h.h.H.Z.Z.Z,Z.z.Y*Z.",Normal-Stribrek
"Z.z.Z.Z.W.Z,Z0Z.W.",Normal-Stribrek
Z.F.Z00Z.z.W*W.,Normal-Stribrek
"w.W.F.W0W,W.F.f.f.W*W.w.Z0W.F.f.F.W.Z*Z.z.z.Z.Z.",Normal-Stribrek
"X,x.Z00W.Z*Z.Z.Z.Z.",Normal-Stribrek
I0Z.z.Z0,Normal-Stribrek
"z.z.Z.Z.Z*W.w.W+W,W,Z0Z*W.F.W.W.F.W*W.F.f.Z0Z.W,W.W.w.W.W.w.W00W.f.f.W.W.",Normal-Stribrek
W.W.Z0W.,Normal-Stribrek
"W.F.W+W.W,W.Z*z*W.Z0Z.W00W.W.",Normal-Stribrek
"Z.w.W*W.F.W0W.Z0z*Z.W,W.Y*W.",Normal-Stribrek
Z.Z.Z.Z.,Normal-Stribrek
"h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,",Normal-Stribrek
"h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,Y0Y,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,",Normal-Stribrek
Y0000W.,Normal-Stribrek
y.h.Y000W.,Normal-Stribrek
F.F.,Normal-Stribrek
z.,Normal-Stribrek
z*W.X0W.,Normal-Stribrek
"Z,Z.z.w.Z*X.W0W.W.W.F.",Normal-Stribrek
Z.F.W+W.Z0I0z*,Normal-Stribrek
I.Y00Y.w.H.X.F.,Normal-Stribrek
"Z,Z0i0i0i0",Normal-Stribrek
"Y,",Normal-Stribrek
Z.z.Z.Z.,Normal-Stribrek
Y.Y.Y.y.,Normal-Stribrek
Z.Z.z.w.Z.Z.i.Z.z.Z.,Normal-Stribrek
z.Z.Z.Z.z.Z.W.,Normal-Stribrek
z.,Normal-Stribrek
Z.Z.Z.Z.,Normal-Stribrek
Z.Z.Z.z.,Normal-Stribrek
Y.W.,Normal-Stribrek
"Y.h.y.W.Y*Y.Y.Y.Y.Y.Y,Y.Y.H.Y,Y.Y.y.W.Y+Y.H.Y.w.",Normal-Stribrek
"H.Y.Y.Y.Y.y.y.Y.Y.y.h.H.H.Y.Y.h.Y.Y*Y.h.Y.Y.y.Y,Y.Y.Y,Y.Y.H.G.Y.Y.Y.Y+Y.",Normal-Stribrek
H.y.H.h.Y.Y.y.y.y.,Normal-Stribrek
I.,Normal-Stribrek
Z*Z.,Normal-Stribrek
Z.z.I.i.Z000Z.Z.z.Z.Z.,Normal-Stribrek
"u,D,u,u+u,u,d,u,u,u,u+d,u,u,d,d,u,u,u,u,u,D,u+U,u,D,u,d,u+u+D+u+U,u,U*u+D,u,U+u+u,u,d,u,d,U+U,u,d,d,u,d,U,u,u,u,u,U+D+u,U+u,U+U,U+u,u,d,u,u,u,U,U+u+u,u,U+U,u,u,u,u,u,U+u,d,u+u,u,U+U,d,U+d+u,D,d,u+u,U+u,u,u+u+u,u,u,U+u,u+u+D+U,U+U,d,u,d,U,u,u,u,D+D,u,d,d,u,u,u,D,u,d,u,D,u,u,u+u,U+u+u+U,U,u,u+D+u,u+D,u,U+U,u,U+u,u,u,u+U,u,u,u,U+u,u,u,u,u+U,u,u,u+u+u+u,u,u,U+z,W.Z.w.w.w.U,u,u,u,u,u,u+U*u+D+z+W.f.F.W.W.U.U+u,u+U,U+u,d,u,u,u+u+U,U+u,u,U+u,u,U,u,U+u+U,U+u,d,u+u,u,u,U+u+D+D+u,u,U,u+U,u,u+u,z+U.U,u+U,u,U,U*U,f,u,U+u,u,u,u,u+u+U,u,u,U+u,u,u+u+u,u+u,d,u,U+u,u,U+u,D,u,u,u+D+u,u+u+u+D+U,u,u,D,u,u+U,U+u,u,U+u+u+u,u,u+D+U,u,u,U+u*u+u,u+u,U+u+u,u,d,u,U+u+u,u,u,U+U,u,u+U,d,Z,u+u+U,U+d+U,u,u,u+D+U,d,u,u+D+u,u+u+u,u,d,U+u,u,u,u,u,u,d,u+U,U+u,u+u,d,u,u+U,d,U+U,u,u,u,u,u,u+u,u+u+u+u*U,d,u,D,u+u,u,U+U,d,u,u+U,",Normal-Stribrek
z.i.i.i.Z0Z.I.i.i.i.Z0z0Z.Z.Z.Z.z.,Normal-Stribrek
"u,U+u,u+u,u,U+U,u+U,u,u,U+U,U+U,U+u,u+u+D+D+d,U,d,U+u,u+u,D,u,u,u+u,u,u,D,d,u,u+U,d,u,u,u,u+u,U*U,u+u+U,u,u,u,u+U,U+d+u,u,d,u+U,U+U,U+U,d,U+U,u,u,u+u,u+w,U+u+u,u,U+u+U,u,u+u,D+u+U,U+U,U,u+u,U,U+u,u,U+u,U,u,u,u+u,U,U,U,d,u,u,u+u,u,u+D,u,u,u,U+U,u+d+u,u+u,u,D,D+D+D+u,d,u+u,u+u,u,U+u,u,d,u,u,u,u+D+d+U,u,u,u+u,u,u,U+u+u+u,u,u,U+u,u+u,U*U,u,u,u+u+U,u+U,d,U,u,u+u+u,D,u+u,u,z,u+u,u,u+u+U,u,u,d,U+u+u+U,u,u+W,U+u+u+u+u,u,u,U+D+u+Z,W.W.F.F.F.U+u+u,u+u+u,U+u,u,d,u,U+u+U,U+u,u,u+u+D+D+u,u,U+d+D+U,u,u,d,u+u,d,u+u,u,d,u,u,d,U+u+u+u+D+u,u,U,U+U,U+u,u,u,u+u+U,U+U*U,u,u,u,d,u,u+U,u,u,u,u,u+u,u,u+u+u+U,U+U,U+U,u,u+u,u,U,u,u,u+u,u+u,u,u+u+U,U+u,u,u,u+u+D+u+u,u,D,u,U+U,u+u,u,u+u,u,d,u+u,u+U,U+u,u+u,u,u,u,u,u,u,U+D+u,U,U+u,",Normal-Stribrek
"H.Y+Y.y.Y+Y.y.Y+Y.H.Y+Y.h.Y+Y.y.Y+Y.y.Y+Y.H.Y+Y.y.Y+Y.h.Y+Y.y.Y+Y.y.Y+Y.Y.Y+Y.H.Y+Y.y.Y+Y.y.Y+Y.H.Y+Y.h.Y+Y.h.Y+Y.y.Y+Y.g.Y.Y.Z+y+Y.y.Y+Y.y.Y+Y.y.Y+Y.H.Y*Y.h.Y+Y.H.Y+Y.h.Y+Y.y.Z+Z.z.z.I.z.Y+Y.y.Y+Y.H.Z+Z.i.z.Y+Y.H.Y+Y.y.Y+Y.y.Y+Y.y.Z+Z.z.i.I.I.Y+Y.H.Y+Y.y.Z+Z.z.i.Z.Z.Y+Y.h.Y+Y.h.Y+Y.y.X+h+Y.H.Y+Y.Y.Y+Y.y.Y+Y.Y.Y+Y.y.Y+Y.y.Y+Y.y.Y+Y.h.Y+Y.Y.Y+Y.H.Z+Z.z.z.z.I.Y+Y.h.Y+Y.H.Y+Y.g.Y.Y+Y.h.Z+Z.I.i.i.I.Y+Y.H.Y+Y.H.Y+Y.H.Y+Y.H.Y*Y.y.Y+Y.y.Y+Y.y.Y+Y.y.Z+Z.z.Z.Z.z.Y+Y.y.Y+Y.y.Z+Z.z.z.i.z.Y+Y.H.Y+Y.H.Y+Y.y.Y+Y.y.Y,Y.y.H.y.y.Y+Y.h.Y+Y.g.Y.Y+Y.H.Y+Y.y.Y+Y.Y.",Normal-Stribrek
"u+u*U,u,D,u+u+D,D+u,u,u+U,d,u,u,u,u,d,u,D,U,U+U,U+u,u,u+u+u+u+D+u,d,u+U,U+D+u+u,u,U,U,u,u+u+D+D+D+u,u,u,u,u,u,d,u,u,d,U+u+U,d,d,u,u+D+D+U,d,U+u,u+D+u,u,u+D+U,u,u,U+u+u,u+u,d,u,D,u+u+D+U,u,u,u,u,u+u,u+u,D,u,u,d,U+U,u,u,u,u+u,u+u+U,U+u,u+u,d,u+u,u+u,u+U,U+U,u,u,U,u,u,U,u,u+u,u,U,U,u,u+D+u,d,D,u,u+u+u+u,z,W.W.F.F.F.U,d,u,u,u+u,u,U+U,U+u,u,w+W.F.f.U,u+u,u,u,u,u,u,u,d,d,d,u,u,u,u,u,u+u+d+u,D,D+u+u,u,u,d,d,u,u+u+U,d,U+u+U,u,u+u+U,u,d,u,d,U,u,d,u+d+U,u,d,u+u,u,I,u,u,u,u+U,u,u,u,u+u+U,u,d,D,u,u+d+U,u,u+D,u,u,d,u,d,u,d,u+u,u+u,u+u,u,u+u+u,u+u+d+d+u+D+u,u+u+U,U+i+u+U,u,u+u,u,u+u,D,u,u,U+u+U,u,U+D+U,d,u,U+u+U*U+D+U,u,u,u,u+u,D,u,U+z+U.F.W.f.w.F.U+U,u,u,u+u,u,u,u,u,u,u,u+U,d,u+U,d,U+U,u,u,d,U,U,U,u,U+u,u+u,u,u+D+u,U+u+u+D+U,U,u,U+u+u,u,d,U,d,u,u,u+D+U,u+u+U,U+u,u,u,d,u+U,",Normal-Stribrek
"y.Y+Y.H.Y+Y.y.Y+Y.H.Y+Y.H.Y+Y.H.Y+Y.y.Y+Y.H.Y+Y.y.Y+Y.H.Y+Y.y.Y+Y.H.Y+Y.H.Y+Y.H.Y+Y.H.Y+Y.h.Y+Y.y.Y+Y.H.Y+Y.H.Y+Y.H.Y+Y.h.Y+Y.H.Y+Y.H.Y+Y.H.Y+Y.H.Y+h+Y.H.Y+Y.y.Y+Y.y.Y+Y.y.Y+Y.Y.Y+Y.H.Y+Y.y.Z+Z.I.Z.Z.Z.Y+Y.y.Y+Y.h.Y+Y.y.Y+Y.H.Y+Y.H.X+h*Y.y.Y+Y.H.Z+Z.Z.Z.Z.Z.Y+Y.H.Y+Y.H.Y+Y.h.Y+Y.h.Z+Z.z.i.i.z.Y+Y.y.Y+Y.H.Y+Y.H.Y+Y.H.Z+X.I.I.I.i.Y+Y.H.Y+Y.h.Y+Y.H.X+h+Y.y.Y+Y.y.Y+Y.y.Y+Y.y.Y+Y.y.Y+Y.H.Z+Z.z.z.z.I.Y+Y.y.Y+Y.H.Y+Y.y.Y+Y.H.Y+Y.H.Y+Y.h.Y+Y.h.Y+Y.y.Z+Z.I.I.I.i.Y+Y.H.Y+Y.y.X,Y.y.y.Y+Y.H.Y+Y.H.Z+Z.Z.Z.Z.Z.Y+Y.h.Y+Y.Y.Y.Y+Y.y.",Normal-Stribrek
"u,u,u,u,U+u,u+u+u+U,U+U,d,u,u+u,U,U+u,d,u,u,u+u,U,d,u,u,u,u,u,u+U,u,U,d,u,u,u,u,d,u,d,d,u,u,u+U,U+u,d,u,u,d,U,u,u,U,U,u,d,u,u+u+D+D+u+u+u,u,u,u,u,U*u+u+U,u+u+u+u+u,u,u,U+u+U,U+u,U+u+u,u,d,D,u,U+U,u,u,u+u+U,u,u+u+U,u,u,d,U+u+U,U+u+u+D+U,u+u+u,u,u,u+u+d+u,u+D+u+U,u,u,u,u,u,u,u,u,u,D,u+u+u+u,u+u+u,u+D+U,U+u,U+u+U,y,Y.y.Z.W.W.f.F.F.U+U,u,u,u+u,u,U+u+D+u,u,U+u,u+U,u,u,U+D+U,U+u+d+u,u,u+u,u+u,u,d,U+u+U,u,d,U+U,U+D+u,u+U,u,u+U,u,u,u,u,d,U,u,u+u,U,U+D+D+U,d,u+u+u,d,u,u,U+u+U,U,u+u+u,u+u,u,u,u,u,d,u,Z,y,Y.y.y.y.Z.Z.w.W.W.W.W.w.Y,Y.Y,X.z.W.W.W.F.W.U,u,U,U+U,u,u,u,u+u,u,U+d+u,U+U,u,D,u,u+u+u,u,u,d,u,u,d,d,U+u,u+u,u,u,u,u,u+U,u,u,U+U,u,u+d+u,U*u+D+u+u,D+u,u,U+U,U+u+u+d+u+U,U*U,U+U,u,u,u,u,U+U,u+u+u+u+u,u,U+u,D,d,u,u+z,U+U,U,D,u,u,u,u,u,u,u,u,U,U+u+u+U,u,u,u,d,u,u+u,d,U+u,u,u,u,u,u,U+u,d,d,u,U+U,d,U+",Normal-Stribrek
Z.Z.z.I.i.Z0Z.Z.z.i.i.Z*Z0Z.Z.I.I.i.,Normal-Stribrek
"u+d+U,d,U+D+D+u+D+D+u+u,u,u+U,U+u,u+u+u,D,u+u,u+u+U,U+u+u+u+U*U,d+u,u,U+u,u,u,u,U+U,u,u,u,U+U,d,u,u,u+u,u+u,u,u+D+u+D+U,U+Z,u,u,u,u,U,u,u+u+u,d,u,u+D+u,u+D+u,u,u+U,u,u,u+U,u,d,u,u,u+u+u,u,u+D+u+u+U,u,U+u+U,u,u+U,u,u,u,u,u,u,u,u,U,u,u,u+u+D+u+u+U,U+u+D+u+u,u+z,Z.Z.F.w.F.U,u,u,u,u+u,u+u,d,u+u,u+u,U+u,U,U,u+U,d,U+U,d,U+u,U+U,U+u+d+u+u,d,u+u,D,u,d,u,u+U,U+u+u,u,U+d+U,U+D+u+u,u+D+u+u+D+u,u+u+u+u,D,U,u,u+D+U,u,u,U,u,u,u,U+u,u,d,u,i,u+D+u+U,u,U+U,u,u+U,u,u,u,u,d,u,u,U+u+d+D+D+i+W.w.F.w.W,u+u,u,u,u+U,u,u,u+U,U+D+U,u+d+u,u+d+u,U+D+u,U*U,D,D,u+U,U+u+D+u+U,U+U,d,U+u+D+u,u,U+u,u,u,u,u,U+u,u+u+u+u,u,D,u+U,u,u,u+U,U+U,d,u,z,Y.W.y.F.w.U.U,d,U+U,u,U+U,u,U+U,u,d,U+u,u,u,u,d,u,u,u+u,u,U+z,d,u+U,d,d,",Normal-Stribrek
z.I.I.i.,Normal-Stribrek
"U+u,u+u+u+u+U,U+u+u+u,U+u,u+D+u,u,u+U,u,u,u,U+u,D,d,D,U+u,U,u,u+U,U+U,u,u+u,u,d,u,u,u,d,u+U,d,u,u,u,u,u+D+u+D+u,u,u+u+u+U,u,U,u,u,d,W,u+u+u,u,u,d,u,u,u,u,u,u+U,w,Z.w.F.w.w.U,u,u+u,u,u,u,u,U,f,W.F.U,u,u,u,u,u+U,u,u,u,u,u,u+D,U,u,d,u,u+D+u,u,u+U,D,D,u,u,u+D+D+u,D+u+D+U,U+u+U,u,U+u+U,u,d,U+U,u,U+u+U,u,u,z,D,D,d,u,u,d,z+u,u,z,F,W.F.U,u+U,U+D+u,u+u+u,u,u,U+U,u,u,u,u+U,U+u,u,d,U+u,u+U,F,Z.W.W.Z.W.U+d,D+u,u,u,U,u+U,u,u,u+D+D,u,u,U+u,D,d,u+d+U,d,U+u,u+u,u,U+U,u,u+D+D+w,u,u,d,u,u,U+u,u+U,u,u+u,u+u,u,u+u,u,u,U+u,u,U+u+u,U+u+u,u,d,d,u,u,u,D,u+u,D,u+u,I,u,u,U+u+U,U+U,U+u+U,d,U+U,u,u,d,u,u,u+u+U,u+u,d,u,u,u+U,U+u+u,u+D+U,u,d,u,d,U*U,u,D,u,u,U,u,U+u+u,U,U+u,d,u,u,U,U+u,D,d,d,U,u,U+U,u,u,U+U,U+u+u,D,u+u,u,u,u,u+D+U,u,d,u+u+u,u+u,u,u,u+U,u,u,U+u+u+U,u,u+u+u,u,u+U,u,u,d,U+U,u,u+u,u,u,u+u,U+D+",Normal-Stribrek
Z000z0,Normal-Stribrek
z*z*z*z00Z*z*,Normal-Stribrek
I*,Normal-Stribrek
Z*z00Z*,Normal-Stribrek
Z.W00Z.Z+,Normal-Stribrek
0Z.,Normal-Stribrek
Z*,Normal-Stribrek
w.W.,Normal-Stribrek
W.W.Z*,Normal-Stribrek
i.W.,Normal-Stribrek
Z.z.Z.Z.z.I.I.i.Z*Z.Z.z.i.X.Z.Z.Z+Z.Z0Z.I.z.z.Z.Z.Z.i.I.i.I.z.z.i.Z00Z.Z*Z.,Normal-Stribrek
Z.Z.Z.z.Z.Z.I.Z.Z.z.z.Z.Z.W*W.w.w.W.W.w.W.W.W.W.w.,Normal-Stribrek
z*i*z*,Normal-Stribrek
"Z.Z,z,Z*I*W.Z,",Normal-Stribrek
z0Z.z.,Normal-Stribrek
"Z,",Normal-Stribrek
"Y.Z.z.z.Z,W.Y.y.W,W.Z.W.w.w.Y,Y.z.",Normal-Stribrek
"Z.W.Z+z,f,Z.F.Z*Z.Z+Z.",Normal-Stribrek
"Z.z.z.i.Y,W.W.W.w.W.Z,Z.Z.I.z.z.Z,W+W.F.f.W.W.Z,Z.Y,F,W.w.w.w.w.",Normal-Stribrek
h0h*i0h0,Normal-Stribrek
00,Normal-Stribrek
Z.W.w.w.W*W.w.W0,Normal-Stribrek
"Y,",Normal-Stribrek
Z0i0i0i0,Normal-Stribrek
Z*I0i0i0I*,Normal-Stribrek
Z.z.I.i.Z.,Normal-Stribrek
W.,Normal-Stribrek
"W.Z,w,W.f.",Normal-Stribrek
"W,",Normal-Stribrek
Y.W.,Normal-Stribrek
00,Normal-Stribrek
Z000W.,Normal-Stribrek
W.W.W.z.,Normal-Stribrek
W.,Normal-Stribrek
Y0000Y.H.Y.W.w.,Normal-Stribrek
Z.Z.,Normal-Stribrek
Y.,Normal-Stribrek
z*,Normal-Stribrek
Z.Z0z0z*,Normal-Stribrek
"W.F.f.Z*Z.Z*Z.Z*z*I*Z.Z*I*Y+X,Z*Z.Z.Z*z*z+",Normal-Stribrek
W.Z*W.F.W.Z*Z+Z*Z*z*z*Z.Z.Z*i*Z*z*Y+,Normal-Stribrek
"W*W.W,W.Z*z*W.W.W.F.Z*y*Z.z.W.Z.F.Z,W+W.F.w.Z*z*z*Z.Z*z*z*y*Z+Z.Z.Z.Z.Z.Z*Z.Z+Z.Z.",Normal-Stribrek
"Z*Z,I,Z*z*z*Z.Z+Y*Z,z.Z+Z*z*Z.Z*Z.Z*Z.Z*i*Z,Z.Z.z.z.Z,Z*",Normal-Stribrek
"W0W.Z*W.Z*z+z*z*Z.Z.Z*y*Z,z.Z+Z.Z*Z.Y*Z,z.Z*z*Z.z.Z,Z.Z.Z,Z*Z.",Normal-Stribrek
H.Y*z0,Normal-Stribrek
"W.Z*F*Z.F.f.W.W*Z.F.Z.Z.Z.z.Z.z.Z*z+Z*z*Z.Z.Z*z*Z,Z.z.I.Z.Z*Z,",Normal-Stribrek
"W,Z*w*W.W.W.Z.Z.Z.z.Z.Z.W.Z*z*Z.Z*Z*Z.Y*Z.Z,Z*z*Z.Z.Z*I*Z+I*Z.",Normal-Stribrek
z0z*z0Z*,Normal-Stribrek
"Y+Z.Z,Z0Z+W,W.w.W.W.Z*z*Z.Z.Z.Z.Z.Z+W.Z*Z.Z*z*Z.Z*z*F*z*Z.Z.Z*Z.I.",Normal-Stribrek
"Z0Y*z*Z.I.Z.Z.Z.W*W.W.f.Z*z0Z*z*i*Z+z+Z*z*z*y+W.Y,X.",Normal-Stribrek
z0Z.Z*z*Z.Z*z+Z*z*z*I*Z.Z*z*z*z*I*z*I+Z.W.,Normal-Stribrek
Z0,Normal-Stribrek
Z.Z*I*I*z*z*z*I*Z.Z*I*Z.Z.z.z.Z*Z.Z*z*,Normal-Stribrek
I.,Normal-Stribrek
W.w.F.w.Z+Z*I*Z+Z*z*Z.Z*z*Z.z.Z*Z.Z.z.w.Z.Z*,Normal-Stribrek
Z.I.z.Z.Z.Z+Z000,Normal-Stribrek
"W,W.W.W*W.W.W.Z*z*g*Y.Z,Z*Z.Z*z*z*Z.Z.Z+z*z*Z.z.Z.Z.Z*",Normal-Stribrek
"Z.Z0Z*W.W.W.W+W.w.w.w.W*W,W.F.w.Z*H*Z,z.Z.Z*z*z*i*Y+Y.y.Z*z*I*Z.I.Z*z*",Normal-Stribrek
z0Z*,Normal-Stribrek
"Z.Z.z.z.Z,W+Z0W.F.W.w.w.Y*Z.Z,Z*z*z*Z.Z*z*z0y*Z.z.",Normal-Stribrek
"W,W.Z*w+z+W,W.W.w.W.W.Z*z*Z+Z*z*Z.Z*Z.Z.Z*Z*",Normal-Stribrek
W.W*W.,Normal-Stribrek
"z*z*I*z*i*z+z*Z+z+Z*Z+I+Z*Z+z+Z*z*z*Z+Z*Z+z+z+z+Z*z+Z*Z*z+z*I*z+Z*Z,Z*z+I+",Normal-Stribrek
z*z*z+z+Z*z+z*z*z+z*z*Z+z+z*z*z+I+z+z*i*z+Z*z*z*z*Z+Z*I*z*z*z*,Normal-Stribrek
"z*z+z*Z,Z*z+z*z+Z*I*z+z*z*z*Z+z*z+z*z*z*z+z+I+z*z*z*z*Z+Z*z+Z,Z+",Normal-Stribrek
"z*Z*z*I*z*i*z*i*z+Z*z*z*Z,Z+z*z+Z*Z+Z*I*I*Z,Z+z*z*z+z+I+I+z+Z*z*z+",Normal-Stribrek
w.W.W.W.,Normal-Stribrek
W.w.W+W.F.Z0Z*z*Z0,Normal-Stribrek
Z*Z0Z.i.i.i.Z.Z*z*Z.I.Z0Z.i.Z*Z.,Normal-Stribrek
"Z+Z.W0W.Z+Z.z.Z.Z.I.W+F*W.w.w.w.W.W+W.W*W.W*w*W.W,W.W*W.W*W.W*W.Z*",Normal-Stribrek
"Z.Z.Z,Z.",Normal-Stribrek
i0i0i0i0f0,Normal-Stribrek
I.Z0,Normal-Stribrek
"u,u+U,d,d,U,u,d,d,u,",Normal-Stribrek
F.F.Z0z0,Normal-Stribrek
"u,d,u,u,u+u,u,u,u,",Normal-Stribrek
Z.z.z.i.,Normal-Stribrek
"u,u,d,U+u+",Normal-Stribrek
W.,Normal-Stribrek
"Y.h.H.h.Y,",Normal-Stribrek
"Y,",Normal-Stribrek
h+h+Y*Y+y*y+,Normal-Stribrek
Z.I.Z.I.Z.Z.Z.Z.Z.Z.,Normal-Stribrek
"Z.w.Z.W.Y*Z.z,Z.I.I.z.",Normal-Stribrek
Z.z.z.z.Z+z+,Normal-Stribrek
"X.x.x.x.G.X.x.x.X,Y*Y.H.H.H.X.X.x.x.x.x.Y.Y.y.X.X.x.x.X.x.X,X.x.x.x.g.x.X.x.x.G.X.X,X.x.G.G.G.G.x.g.x.X.X,X.X.x.x.G.G.x.X.X.x.G.X0X,X*X.X.",Normal-Stribrek
"x.G.X.X.X.Y0Y.X,x.",Normal-Stribrek
"e.V+Y.Y.V.x,Y.V.v.X,y,Y.V.V0000Y.Y.V.",Normal-Stribrek
"X*X.X.Y+Y.y.Y.X.X.Y.Y.H.X,X.x.x.X,X.X,X.X.",Normal-Stribrek
"H.y.W.f.W.W.f.W.W.w.X,X.X.X.X,X.X.X.X,X.X.X.X.Y.X.X.X,X.X,X.X.X.X,X.X,X.X,X.X,X.X,X.X.X.X.X.X,X.Y.X.X.X.X.X,x.X.X.X.X,X.X.X.X,X.X,X.X,X.X.X.X.X.X,X.X,X.X,X.X.X.",Normal-Stribrek
"h.H.h.h.Y,Z.Y.Z.Y.Y.Z.Z.F.",Normal-Stribrek
"Y.Y.Y,",Normal-Stribrek
F.W*W.,Normal-Stribrek
W.W.W.W.,Normal-Stribrek
I.z.Z.z.,Normal-Stribrek
I.z.Z.Z.,Normal-Stribrek
Z.z.z.z.,Normal-Stribrek
F.F.W.W.,Normal-Stribrek
I.Y.Z.w.Y.Y.z.H.y.H.,Normal-Stribrek
Y.Y.Y.Y.,Normal-Stribrek
"W.f.W,W.W*W.W0W.",Normal-Stribrek
"X*Y.Y,h,Y0Y.W.W.W.W.X,x.x,x.X,X.x.x.x,x,x.x,g,x,x,x,x.x.G,x.x.x,x.x.x,x.x,x,g,x.x.X,x,x,x.X00",Normal-Stribrek
Z0i0i0i0,Normal-Stribrek
X.X.X.x.X.X.G.x.x.X.X.x.x.X.X.x.G.X.G.x.X.x.x.X.X.X.X.G.G.X.x.x.x.X.X.G.X.X.G.X.x.x.X.G.x.x.x.x.g.x.X.X.X.X.G.G.G.x.X.x.X.X.X.,Normal-Stribrek
"H.Y.y.h.Y.Y.Y.Y.y.h.Y,",Normal-Stribrek
"X,g,g,f,X.Y+x,g,x+x,g,g,g,g,h,x+",Normal-Stribrek
Z.y.,Normal-Stribrek
h*h*h*h*y*y*h*h*h*h*y*y*h*h*h*h*h*h*h*y*y*h*y*y*y*y*h*h*h*,Normal-Stribrek
h*y*y*y*h*h*h*h*h*h*h*h*h*h*y*y*h*h*y*h*h*y*y*h*h*,Normal-Stribrek
h*h*y*y*h*h*h*h*h*y*y*y*y*h*h*h*h*h*h*h*h*h*y*y*y*,Normal-Stribrek
y*h*h*h*Y*Y*h*h*y*y*h*h*h*y*y*h*y*y*y*y*h*h*h*h*,Normal-Stribrek
