State,class,tokenize_with_padding,tokenize_no_padding
z*W.X0W.,0,"[27, 50, 33, 47, 34, 37, 33, 47, 0, 0]","[27, 50, 33, 47, 34, 37, 33, 47]"
"Z,Z.z.w.Z*X",0,"[36, 48, 36, 47, 27, 47, 24, 47, 36, 50]","[36, 48, 36, 47, 27, 47, 24, 47, 36, 50, 34]"
F.W+W.Z0I0z,0,"[15, 47, 33, 49, 33, 47, 36, 37, 18, 37]","[15, 47, 33, 49, 33, 47, 36, 37, 18, 37, 27]"
0Y.w.H.X.F.,0,"[37, 35, 47, 24, 47, 17, 47, 34, 47, 15]","[37, 35, 47, 24, 47, 17, 47, 34, 47, 15, 47]"
"Z,Z0i0i0i0",0,"[36, 48, 36, 37, 9, 37, 9, 37, 9, 37]","[36, 48, 36, 37, 9, 37, 9, 37, 9, 37]"
"Y,",0,"[35, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[35, 48]"
Z.z.Z.Z.,0,"[36, 47, 27, 47, 36, 47, 36, 47, 0, 0]","[36, 47, 27, 47, 36, 47, 36, 47]"
Y.Y.Y.y.,0,"[35, 47, 35, 47, 35, 47, 26, 47, 0, 0]","[35, 47, 35, 47, 35, 47, 26, 47]"
Z.Z.z.w.Z.Z,0,"[36, 47, 36, 47, 27, 47, 24, 47, 36, 47]","[36, 47, 36, 47, 27, 47, 24, 47, 36, 47, 36]"
z.Z.Z.Z.z.Z,0,"[27, 47, 36, 47, 36, 47, 36, 47, 27, 47]","[27, 47, 36, 47, 36, 47, 36, 47, 27, 47, 36]"
z.,0,"[27, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[27, 47]"
Z.Z.Z.Z.,0,"[36, 47, 36, 47, 36, 47, 36, 47, 0, 0]","[36, 47, 36, 47, 36, 47, 36, 47]"
Z.Z.Z.z.,0,"[36, 47, 36, 47, 36, 47, 27, 47, 0, 0]","[36, 47, 36, 47, 36, 47, 27, 47]"
Y.W.,0,"[35, 47, 33, 47, 0, 0, 0, 0, 0, 0]","[35, 47, 33, 47]"
".Y.Y.Y.Y.Y,",0,"[47, 35, 47, 35, 47, 35, 47, 35, 47, 35]","[47, 35, 47, 35, 47, 35, 47, 35, 47, 35, 48]"
.H.H.Y.Y.h.,0,"[47, 17, 47, 17, 47, 35, 47, 35, 47, 8]","[47, 17, 47, 17, 47, 35, 47, 35, 47, 8, 47]"
.H.h.Y.Y.y.,0,"[47, 17, 47, 8, 47, 35, 47, 35, 47, 26]","[47, 17, 47, 8, 47, 35, 47, 35, 47, 26, 47]"
I.,0,"[18, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 47]"
Z*Z.,0,"[36, 50, 36, 47, 0, 0, 0, 0, 0, 0]","[36, 50, 36, 47]"
I.i.Z000Z.Z,0,"[18, 47, 9, 47, 36, 37, 37, 37, 36, 47]","[18, 47, 9, 47, 36, 37, 37, 37, 36, 47, 36]"
",u,u,u,u,u,",0,"[48, 22, 48, 22, 48, 22, 48, 22, 48, 22]","[48, 22, 48, 22, 48, 22, 48, 22, 48, 22, 48]"
i.i.i.Z0Z.I,0,"[9, 47, 9, 47, 9, 47, 36, 37, 36, 47]","[9, 47, 9, 47, 9, 47, 36, 37, 36, 47, 18]"
"u,u+u+D+u+u",0,"[22, 48, 22, 49, 22, 49, 13, 49, 22, 49]","[22, 48, 22, 49, 22, 49, 13, 49, 22, 49, 22]"
Z+Z.z.z.i.z,0,"[36, 49, 36, 47, 27, 47, 27, 47, 9, 47]","[36, 49, 36, 47, 27, 47, 27, 47, 9, 47, 27]"
",U+u+u+D+U,",0,"[48, 31, 49, 22, 49, 22, 49, 13, 49, 31]","[48, 31, 49, 22, 49, 22, 49, 13, 49, 31, 48]"
Y.H.Y+Y.y.Z,0,"[35, 47, 17, 47, 35, 49, 35, 47, 26, 47]","[35, 47, 17, 47, 35, 49, 35, 47, 26, 47, 36]"
"U+u+U,U+u+u",0,"[31, 49, 22, 49, 31, 48, 31, 49, 22, 49]","[31, 49, 22, 49, 31, 48, 31, 49, 22, 49, 22]"
.I.i.Z0Z.Z.,0,"[47, 18, 47, 9, 47, 36, 37, 36, 47, 36]","[47, 18, 47, 9, 47, 36, 37, 36, 47, 36, 47]"
"u,u,U+u,u,u",0,"[22, 48, 22, 48, 31, 49, 22, 48, 22, 48]","[22, 48, 22, 48, 31, 49, 22, 48, 22, 48, 22]"
z.I.I.i.,0,"[27, 47, 18, 47, 18, 47, 9, 47, 0, 0]","[27, 47, 18, 47, 18, 47, 9, 47]"
"D,D,u,u,u+D",0,"[13, 48, 13, 48, 22, 48, 22, 48, 22, 49]","[13, 48, 13, 48, 22, 48, 22, 48, 22, 49, 13]"
Z000z0,0,"[36, 37, 37, 37, 27, 37, 0, 0, 0, 0]","[36, 37, 37, 37, 27, 37]"
*z*z*z00Z*z,0,"[50, 27, 50, 27, 50, 27, 37, 37, 36, 50]","[50, 27, 50, 27, 50, 27, 37, 37, 36, 50, 27]"
I*,0,"[18, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 50]"
Z*z00Z*,0,"[36, 50, 27, 37, 37, 36, 50, 0, 0, 0]","[36, 50, 27, 37, 37, 36, 50]"
Z.W00Z.Z+,0,"[36, 47, 33, 37, 37, 36, 47, 36, 49, 0]","[36, 47, 33, 37, 37, 36, 47, 36, 49]"
0Z.,0,"[37, 36, 47, 0, 0, 0, 0, 0, 0, 0]","[37, 36, 47]"
Z*,0,"[36, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 50]"
w.W.,0,"[24, 47, 33, 47, 0, 0, 0, 0, 0, 0]","[24, 47, 33, 47]"
W.W.Z*,0,"[33, 47, 33, 47, 36, 50, 0, 0, 0, 0]","[33, 47, 33, 47, 36, 50]"
i.W.,0,"[9, 47, 33, 47, 0, 0, 0, 0, 0, 0]","[9, 47, 33, 47]"
i.Z*Z.Z.z.i,0,"[9, 47, 36, 50, 36, 47, 36, 47, 27, 47]","[9, 47, 36, 50, 36, 47, 36, 47, 27, 47, 9]"
.W.w.W.W.W.,0,"[47, 33, 47, 24, 47, 33, 47, 33, 47, 33]","[47, 33, 47, 24, 47, 33, 47, 33, 47, 33, 47]"
z*i*z*,0,"[27, 50, 9, 50, 27, 50, 0, 0, 0, 0]","[27, 50, 9, 50, 27, 50]"
"Z,z,Z*I*W.Z",0,"[36, 48, 27, 48, 36, 50, 18, 50, 33, 47]","[36, 48, 27, 48, 36, 50, 18, 50, 33, 47, 36]"
z0Z.z.,0,"[27, 37, 36, 47, 27, 47, 0, 0, 0, 0]","[27, 37, 36, 47, 27, 47]"
"Z,",0,"[36, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 48]"
".w.w.Y,Y.z.",0,"[47, 24, 47, 24, 47, 35, 48, 35, 47, 27]","[47, 24, 47, 24, 47, 35, 48, 35, 47, 27, 47]"
".W.Z+z,f,Z.",0,"[47, 33, 47, 36, 49, 27, 48, 6, 48, 36]","[47, 33, 47, 36, 49, 27, 48, 6, 48, 36, 47]"
"z.i.Y,W.W.W",0,"[27, 47, 9, 47, 35, 48, 33, 47, 33, 47]","[27, 47, 9, 47, 35, 48, 33, 47, 33, 47, 33]"
h0h*i0h0,0,"[8, 37, 8, 50, 9, 37, 8, 37, 0, 0]","[8, 37, 8, 50, 9, 37, 8, 37]"
00,0,"[37, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 37]"
.w.w.W*W.w.,0,"[47, 24, 47, 24, 47, 33, 50, 33, 47, 24]","[47, 24, 47, 24, 47, 33, 50, 33, 47, 24, 47]"
"Y,",0,"[35, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[35, 48]"
Z0i0i0i0,0,"[36, 37, 9, 37, 9, 37, 9, 37, 0, 0]","[36, 37, 9, 37, 9, 37, 9, 37]"
Z*I0i0i0I*,0,"[36, 50, 18, 37, 9, 37, 9, 37, 18, 50]","[36, 50, 18, 37, 9, 37, 9, 37, 18, 50]"
Z.z.I.i.Z.,0,"[36, 47, 27, 47, 18, 47, 9, 47, 36, 47]","[36, 47, 27, 47, 18, 47, 9, 47, 36, 47]"
W.,0,"[33, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 47]"
"W.Z,w,W.f.",0,"[33, 47, 36, 48, 24, 48, 33, 47, 6, 47]","[33, 47, 36, 48, 24, 48, 33, 47, 6, 47]"
"W,",0,"[33, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 48]"
Y.W.,0,"[35, 47, 33, 47, 0, 0, 0, 0, 0, 0]","[35, 47, 33, 47]"
00,0,"[37, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 37]"
Z000W.,0,"[36, 37, 37, 37, 33, 47, 0, 0, 0, 0]","[36, 37, 37, 37, 33, 47]"
W.W.W.z.,0,"[33, 47, 33, 47, 33, 47, 27, 47, 0, 0]","[33, 47, 33, 47, 33, 47, 27, 47]"
W.,0,"[33, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 47]"
0000Y.H.Y.W,0,"[37, 37, 37, 37, 35, 47, 17, 47, 35, 47]","[37, 37, 37, 37, 35, 47, 17, 47, 35, 47, 33]"
Z.Z.,0,"[36, 47, 36, 47, 0, 0, 0, 0, 0, 0]","[36, 47, 36, 47]"
Y.,0,"[35, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[35, 47]"
z*,0,"[27, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[27, 50]"
Z.Z0z0z*,0,"[36, 47, 36, 37, 27, 37, 27, 50, 0, 0]","[36, 47, 36, 37, 27, 37, 27, 50]"
*z*I*Z.Z*I*,0,"[50, 27, 50, 18, 50, 36, 47, 36, 50, 18]","[50, 27, 50, 18, 50, 36, 47, 36, 50, 18, 50]"
*Z.Z.Z*i*Z*,0,"[50, 36, 47, 36, 47, 36, 50, 9, 50, 36]","[50, 36, 47, 36, 47, 36, 50, 9, 50, 36, 50]"
W.Z*z*W.W.W,0,"[33, 47, 36, 50, 27, 50, 33, 47, 33, 47]","[33, 47, 36, 50, 27, 50, 33, 47, 33, 47, 33]"
"*i*Z,Z.Z.z.",0,"[50, 9, 50, 36, 48, 36, 47, 36, 47, 27]","[50, 9, 50, 36, 48, 36, 47, 36, 47, 27, 47]"
z.Z+Z.Z*Z.Y,0,"[27, 47, 36, 49, 36, 47, 36, 50, 36, 47]","[27, 47, 36, 49, 36, 47, 36, 50, 36, 47, 35]"
H.Y*z0,0,"[17, 47, 35, 50, 27, 37, 0, 0, 0, 0]","[17, 47, 35, 50, 27, 37]"
Z.z.Z*z+Z*z,0,"[36, 47, 27, 47, 36, 50, 27, 49, 36, 50]","[36, 47, 27, 47, 36, 50, 27, 49, 36, 50, 27]"
.Z*I*Z+I*Z.,0,"[47, 36, 50, 18, 50, 36, 49, 18, 50, 36]","[47, 36, 50, 18, 50, 36, 49, 18, 50, 36, 47]"
z0z*z0Z*,0,"[27, 37, 27, 50, 27, 37, 36, 50, 0, 0]","[27, 37, 27, 50, 27, 37, 36, 50]"
*Z.Z.Z.Z.Z.,0,"[50, 36, 47, 36, 47, 36, 47, 36, 47, 36]","[50, 36, 47, 36, 47, 36, 47, 36, 47, 36, 47]"
Y*z*Z.I.Z.Z,0,"[35, 50, 27, 50, 36, 47, 18, 47, 36, 47]","[35, 50, 27, 50, 36, 47, 18, 47, 36, 47, 36]"
.Z*z+Z*z*z*,0,"[47, 36, 50, 27, 49, 36, 50, 27, 50, 27]","[47, 36, 50, 27, 49, 36, 50, 27, 50, 27, 50]"
Z0,0,"[36, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 37]"
*z*z*I*Z.Z*,0,"[50, 27, 50, 27, 50, 18, 50, 36, 47, 36]","[50, 27, 50, 27, 50, 18, 50, 36, 47, 36, 50]"
I.,0,"[18, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 47]"
.F.w.Z+Z*I*,0,"[47, 15, 47, 24, 47, 36, 49, 36, 50, 18]","[47, 15, 47, 24, 47, 36, 49, 36, 50, 18, 50]"
.I.z.Z.Z.Z+,0,"[47, 18, 47, 27, 47, 36, 47, 36, 47, 36]","[47, 18, 47, 27, 47, 36, 47, 36, 47, 36, 49]"
*z*Z.Z.Z+z*,0,"[50, 27, 50, 36, 47, 36, 47, 36, 49, 27]","[50, 27, 50, 36, 47, 36, 47, 36, 49, 27, 50]"
"*W,W.F.w.Z*",0,"[50, 33, 48, 33, 47, 15, 47, 24, 47, 36]","[50, 33, 48, 33, 47, 15, 47, 24, 47, 36, 50]"
z0Z*,0,"[27, 37, 36, 50, 0, 0, 0, 0, 0, 0]","[27, 37, 36, 50]"
Z*z*z0y*Z.z,0,"[36, 50, 27, 50, 27, 37, 26, 50, 36, 47]","[36, 50, 27, 50, 27, 37, 26, 50, 36, 47, 27]"
Z+Z*z*Z.Z*Z,0,"[36, 49, 36, 50, 27, 50, 36, 47, 36, 50]","[36, 49, 36, 50, 27, 50, 36, 47, 36, 50, 36]"
W.W*W.,0,"[33, 47, 33, 50, 33, 47, 0, 0, 0, 0]","[33, 47, 33, 50, 33, 47]"
+Z*Z+z+Z*z*,0,"[49, 36, 50, 36, 49, 27, 49, 36, 50, 27]","[49, 36, 50, 36, 49, 27, 49, 36, 50, 27, 50]"
Z*z*z*z*Z+Z,0,"[36, 50, 27, 50, 27, 50, 27, 50, 36, 49]","[36, 50, 27, 50, 27, 50, 27, 50, 36, 49, 36]"
*z*z*z*Z+Z*,0,"[50, 27, 50, 27, 50, 27, 50, 36, 49, 36]","[50, 27, 50, 27, 50, 27, 50, 36, 49, 36, 50]"
"*Z,Z+z*z*z+",0,"[50, 36, 48, 36, 49, 27, 50, 27, 50, 27]","[50, 36, 48, 36, 49, 27, 50, 27, 50, 27, 49]"
w.W.W.W.,0,"[24, 47, 33, 47, 33, 47, 33, 47, 0, 0]","[24, 47, 33, 47, 33, 47, 33, 47]"
.w.W+W.F.Z0,0,"[47, 24, 47, 33, 49, 33, 47, 15, 47, 36]","[47, 24, 47, 33, 49, 33, 47, 15, 47, 36, 37]"
Z0Z.i.i.i.Z,0,"[36, 37, 36, 47, 9, 47, 9, 47, 9, 47]","[36, 37, 36, 47, 9, 47, 9, 47, 9, 47, 36]"
.W*W.W*W.W*,0,"[47, 33, 50, 33, 47, 33, 50, 33, 47, 33]","[47, 33, 50, 33, 47, 33, 50, 33, 47, 33, 50]"
"Z.Z.Z,Z.",0,"[36, 47, 36, 47, 36, 48, 36, 47, 0, 0]","[36, 47, 36, 47, 36, 48, 36, 47]"
i0i0i0i0f0,0,"[9, 37, 9, 37, 9, 37, 9, 37, 6, 37]","[9, 37, 9, 37, 9, 37, 9, 37, 6, 37]"
I.Z0,0,"[18, 47, 36, 37, 0, 0, 0, 0, 0, 0]","[18, 47, 36, 37]"
"+U,d,d,U,u,",0,"[49, 31, 48, 4, 48, 4, 48, 31, 48, 22]","[49, 31, 48, 4, 48, 4, 48, 31, 48, 22, 48]"
F.F.Z0z0,0,"[15, 47, 15, 47, 36, 37, 27, 37, 0, 0]","[15, 47, 15, 47, 36, 37, 27, 37]"
"u,d,u,u,u+u",0,"[22, 48, 4, 48, 22, 48, 22, 48, 22, 49]","[22, 48, 4, 48, 22, 48, 22, 48, 22, 49, 22]"
Z.z.z.i.,0,"[36, 47, 27, 47, 27, 47, 9, 47, 0, 0]","[36, 47, 27, 47, 27, 47, 9, 47]"
"u,u,d,U+u+",0,"[22, 48, 22, 48, 4, 48, 31, 49, 22, 49]","[22, 48, 22, 48, 4, 48, 31, 49, 22, 49]"
W.,0,"[33, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 47]"
"Y.h.H.h.Y,",0,"[35, 47, 8, 47, 17, 47, 8, 47, 35, 48]","[35, 47, 8, 47, 17, 47, 8, 47, 35, 48]"
"Y,",0,"[35, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[35, 48]"
h+h+Y*Y+y*y,0,"[8, 49, 8, 49, 35, 50, 35, 49, 26, 50]","[8, 49, 8, 49, 35, 50, 35, 49, 26, 50, 26]"
Z.I.Z.Z.Z.Z,0,"[36, 47, 18, 47, 36, 47, 36, 47, 36, 47]","[36, 47, 18, 47, 36, 47, 36, 47, 36, 47, 36]"
".Z.W.Y*Z.z,",0,"[47, 36, 47, 33, 47, 35, 50, 36, 47, 27]","[47, 36, 47, 33, 47, 35, 50, 36, 47, 27, 48]"
.z.z.z.Z+z+,0,"[47, 27, 47, 27, 47, 27, 47, 36, 49, 27]","[47, 27, 47, 27, 47, 27, 47, 36, 49, 27, 49]"
.X.x.x.x.x.,0,"[47, 34, 47, 25, 47, 25, 47, 25, 47, 25]","[47, 34, 47, 25, 47, 25, 47, 25, 47, 25, 47]"
X.X.X.Y0Y.X,0,"[34, 47, 34, 47, 34, 47, 35, 37, 35, 47]","[34, 47, 34, 47, 34, 47, 35, 37, 35, 47, 34]"
"+Y.Y.V.x,Y.",0,"[49, 35, 47, 35, 47, 32, 47, 25, 48, 35]","[49, 35, 47, 35, 47, 32, 47, 25, 48, 35, 47]"
",X.x.x.X,X.",0,"[48, 34, 47, 25, 47, 25, 47, 34, 48, 34]","[48, 34, 47, 25, 47, 25, 47, 34, 48, 34, 47]"
".X.X.X,X.X.",0,"[47, 34, 47, 34, 47, 34, 48, 34, 47, 34]","[47, 34, 47, 34, 47, 34, 48, 34, 47, 34, 47]"
",Z.Y.Z.Y.Y.",0,"[48, 36, 47, 35, 47, 36, 47, 35, 47, 35]","[48, 36, 47, 35, 47, 36, 47, 35, 47, 35, 47]"
"Y.Y.Y,",0,"[35, 47, 35, 47, 35, 48, 0, 0, 0, 0]","[35, 47, 35, 47, 35, 48]"
F.W*W.,0,"[15, 47, 33, 50, 33, 47, 0, 0, 0, 0]","[15, 47, 33, 50, 33, 47]"
W.W.W.W.,0,"[33, 47, 33, 47, 33, 47, 33, 47, 0, 0]","[33, 47, 33, 47, 33, 47, 33, 47]"
I.z.Z.z.,0,"[18, 47, 27, 47, 36, 47, 27, 47, 0, 0]","[18, 47, 27, 47, 36, 47, 27, 47]"
I.z.Z.Z.,0,"[18, 47, 27, 47, 36, 47, 36, 47, 0, 0]","[18, 47, 27, 47, 36, 47, 36, 47]"
Z.z.z.z.,0,"[36, 47, 27, 47, 27, 47, 27, 47, 0, 0]","[36, 47, 27, 47, 27, 47, 27, 47]"
F.F.W.W.,0,"[15, 47, 15, 47, 33, 47, 33, 47, 0, 0]","[15, 47, 15, 47, 33, 47, 33, 47]"
Y.Z.w.Y.Y.z,0,"[35, 47, 36, 47, 24, 47, 35, 47, 35, 47]","[35, 47, 36, 47, 24, 47, 35, 47, 35, 47, 27]"
Y.Y.Y.Y.,0,"[35, 47, 35, 47, 35, 47, 35, 47, 0, 0]","[35, 47, 35, 47, 35, 47, 35, 47]"
".W,W.W*W.W0",0,"[47, 33, 48, 33, 47, 33, 50, 33, 47, 33]","[47, 33, 48, 33, 47, 33, 50, 33, 47, 33, 37]"
".W.W.W.X,x.",0,"[47, 33, 47, 33, 47, 33, 47, 34, 48, 25]","[47, 33, 47, 33, 47, 33, 47, 34, 48, 25, 47]"
Z0i0i0i0,0,"[36, 37, 9, 37, 9, 37, 9, 37, 0, 0]","[36, 37, 9, 37, 9, 37, 9, 37]"
X.X.X.X.G.G,0,"[34, 47, 34, 47, 34, 47, 34, 47, 16, 47]","[34, 47, 34, 47, 34, 47, 34, 47, 16, 47, 16]"
.Y.y.h.Y.Y.,0,"[47, 35, 47, 26, 47, 8, 47, 35, 47, 35]","[47, 35, 47, 26, 47, 8, 47, 35, 47, 35, 47]"
"x+x,g,g,g,g",0,"[25, 49, 25, 48, 7, 48, 7, 48, 7, 48]","[25, 49, 25, 48, 7, 48, 7, 48, 7, 48, 7]"
Z.y.,0,"[36, 47, 26, 47, 0, 0, 0, 0, 0, 0]","[36, 47, 26, 47]"
*y*y*h*y*y*,0,"[50, 26, 50, 26, 50, 8, 50, 26, 50, 26]","[50, 26, 50, 26, 50, 8, 50, 26, 50, 26, 50]"
h*h*h*h*h*h,0,"[8, 50, 8, 50, 8, 50, 8, 50, 8, 50]","[8, 50, 8, 50, 8, 50, 8, 50, 8, 50, 8]"
y*h*h*h*h*h,0,"[26, 50, 8, 50, 8, 50, 8, 50, 8, 50]","[26, 50, 8, 50, 8, 50, 8, 50, 8, 50, 8]"
y*h*h*h*Y*Y,0,"[26, 50, 8, 50, 8, 50, 8, 50, 35, 50]","[26, 50, 8, 50, 8, 50, 8, 50, 35, 50, 35]"
w.W.,0,"[24, 47, 33, 47, 0, 0, 0, 0, 0, 0]","[24, 47, 33, 47]"
y.y.V.,0,"[26, 47, 26, 47, 32, 47, 0, 0, 0, 0]","[26, 47, 26, 47, 32, 47]"
Z.z.W.,0,"[36, 47, 27, 47, 33, 47, 0, 0, 0, 0]","[36, 47, 27, 47, 33, 47]"
".y.Y.z,W.Y,",0,"[47, 26, 47, 35, 47, 27, 48, 33, 47, 35]","[47, 26, 47, 35, 47, 27, 48, 33, 47, 35, 48]"
W.W.w.w.,0,"[33, 47, 33, 47, 24, 47, 24, 47, 0, 0]","[33, 47, 33, 47, 24, 47, 24, 47]"
I.Z.,0,"[18, 47, 36, 47, 0, 0, 0, 0, 0, 0]","[18, 47, 36, 47]"
"Z,Z.z.z.W,W",0,"[36, 48, 36, 47, 27, 47, 27, 47, 33, 48]","[36, 48, 36, 47, 27, 47, 27, 47, 33, 48, 33]"
"Z,",0,"[36, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 48]"
W.,0,"[33, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 47]"
W.,0,"[33, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 47]"
W.,0,"[33, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[33, 47]"
.Z.z.I.I.i.,0,"[47, 36, 47, 27, 47, 18, 47, 18, 47, 9]","[47, 36, 47, 27, 47, 18, 47, 18, 47, 9, 47]"
z.,0,"[27, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[27, 47]"
Z.I.w.,0,"[36, 47, 18, 47, 24, 47, 0, 0, 0, 0]","[36, 47, 18, 47, 24, 47]"
Z.,0,"[36, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 47]"
"X.X.X,X.",0,"[34, 47, 34, 47, 34, 48, 34, 47, 0, 0]","[34, 47, 34, 47, 34, 48, 34, 47]"
X.,0,"[34, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[34, 47]"
"x.x,G,",0,"[25, 47, 25, 48, 16, 48, 0, 0, 0, 0]","[25, 47, 25, 48, 16, 48]"
",Z.W.F.Z,Y*",0,"[48, 36, 47, 33, 47, 15, 47, 36, 48, 35]","[48, 36, 47, 33, 47, 15, 47, 36, 48, 35, 50]"
z0i0i0i0i0,0,"[27, 37, 9, 37, 9, 37, 9, 37, 9, 37]","[27, 37, 9, 37, 9, 37, 9, 37, 9, 37]"
i0i0I0I0,0,"[9, 37, 9, 37, 18, 37, 18, 37, 0, 0]","[9, 37, 9, 37, 18, 37, 18, 37]"
",R*r+a+a+a+",0,"[48, 28, 50, 19, 49, 1, 49, 1, 49, 1]","[48, 28, 50, 19, 49, 1, 49, 1, 49, 1, 49]"
z0i0i0i0i0,0,"[27, 37, 9, 37, 9, 37, 9, 37, 9, 37]","[27, 37, 9, 37, 9, 37, 9, 37, 9, 37]"
W.Z+,0,"[33, 47, 36, 49, 0, 0, 0, 0, 0, 0]","[33, 47, 36, 49]"
z0i0z0z0z*,0,"[27, 37, 9, 37, 27, 37, 27, 37, 27, 50]","[27, 37, 9, 37, 27, 37, 27, 37, 27, 50]"
f0f0f0a0,0,"[6, 37, 6, 37, 6, 37, 1, 37, 0, 0]","[6, 37, 6, 37, 6, 37, 1, 37]"
f0f0f0,0,"[6, 37, 6, 37, 6, 37, 0, 0, 0, 0]","[6, 37, 6, 37, 6, 37]"
y+,0,"[26, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[26, 49]"
i0i0i0f0,0,"[9, 37, 9, 37, 9, 37, 6, 37, 0, 0]","[9, 37, 9, 37, 9, 37, 6, 37]"
R.r.R.R.r.R,0,"[28, 47, 19, 47, 28, 47, 28, 47, 19, 47]","[28, 47, 19, 47, 28, 47, 28, 47, 19, 47, 28]"
f0f0,0,"[6, 37, 6, 37, 0, 0, 0, 0, 0, 0]","[6, 37, 6, 37]"
i0i0,0,"[9, 37, 9, 37, 0, 0, 0, 0, 0, 0]","[9, 37, 9, 37]"
U00U.R.R.D.,0,"[31, 37, 37, 31, 47, 28, 47, 28, 47, 13]","[31, 37, 37, 31, 47, 28, 47, 28, 47, 13, 47]"
".X,y,Y.Y*Y.",1,"[47, 34, 48, 26, 48, 35, 47, 35, 50, 35]","[47, 34, 48, 26, 48, 35, 47, 35, 50, 35, 47]"
H.Y0,1,"[17, 47, 35, 37, 0, 0, 0, 0, 0, 0]","[17, 47, 35, 37]"
"S,S*",1,"[29, 48, 29, 50, 0, 0, 0, 0, 0, 0]","[29, 48, 29, 50]"
S00,1,"[29, 37, 37, 0, 0, 0, 0, 0, 0, 0]","[29, 37, 37]"
v*,1,"[23, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[23, 50]"
S*,1,"[29, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 50]"
s*s*,1,"[20, 50, 20, 50, 0, 0, 0, 0, 0, 0]","[20, 50, 20, 50]"
v*,1,"[23, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[23, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
s*s0,1,"[20, 50, 20, 37, 0, 0, 0, 0, 0, 0]","[20, 50, 20, 37]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
R*s*,1,"[28, 50, 20, 50, 0, 0, 0, 0, 0, 0]","[28, 50, 20, 50]"
s*S*,1,"[20, 50, 29, 50, 0, 0, 0, 0, 0, 0]","[20, 50, 29, 50]"
S*s*S0,1,"[29, 50, 20, 50, 29, 37, 0, 0, 0, 0]","[29, 50, 20, 50, 29, 37]"
s0,1,"[20, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 37]"
S*,1,"[29, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 50]"
S*S*s*s*s*S,1,"[29, 50, 29, 50, 20, 50, 20, 50, 20, 50]","[29, 50, 29, 50, 20, 50, 20, 50, 20, 50, 29]"
s*s*,1,"[20, 50, 20, 50, 0, 0, 0, 0, 0, 0]","[20, 50, 20, 50]"
v*s*s0,1,"[23, 50, 20, 50, 20, 37, 0, 0, 0, 0]","[23, 50, 20, 50, 20, 37]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
S*,1,"[29, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 50]"
s*S*s*s*B*s,1,"[20, 50, 29, 50, 20, 50, 20, 50, 11, 50]","[20, 50, 29, 50, 20, 50, 20, 50, 11, 50, 20]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
s0,1,"[20, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 37]"
*Z*Z*z*I*z*,1,"[50, 36, 50, 36, 50, 27, 50, 18, 50, 27]","[50, 36, 50, 36, 50, 27, 50, 18, 50, 27, 50]"
s0,1,"[20, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 37]"
s*s*,1,"[20, 50, 20, 50, 0, 0, 0, 0, 0, 0]","[20, 50, 20, 50]"
"s,S*",1,"[20, 48, 29, 50, 0, 0, 0, 0, 0, 0]","[20, 48, 29, 50]"
s0,1,"[20, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 37]"
